Category,Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Fiber (g),Sugars (g),Protein (g),Weight Watcher Pnts
Cold Brew Coffee,"Cold Brew Coffee, Large",5,0,0,0,0,20,0,0,0,1,4
Cold Brew Coffee,"Cold Brew Coffee, Medium",5,0,0,0,0,15,0,0,0,0,5
Cold Brew Coffee,"Cold Brew Coffee, Small",5,0,0,0,0,10,0,0,0,0,5
Cold Brew Coffee,"Cold Brew Coffee with Cream, Large",120,12,6,0,35,65,2,0,2,2,126
Cold Brew Coffee,"Cold Brew Coffee with Cream, Medium",90,9,4.5,0,25,45,1,0,1,2,93.5
Cold Brew Coffee,"Cold Brew Coffee with Cream, Small",60,6,3,0,20,30,1,0,1,1,63
Cold Brew Coffee,"Cold Brew Coffee with Cream and Sugar, Large",260,12,6,0,35,65,37,0,36,2,300
Cold Brew Coffee,"Cold Brew Coffee with Cream and Sugar, Medium",190,9,4.5,0,25,45,27,0,27,2,219.5
Cold Brew Coffee,"Cold Brew Coffee with Cream and Sugar, Small",130,6,3,0,20,30,18,0,18,1,150
Cold Brew Coffee,"Nitro Cold Brew Coffee, Medium",5,0,0,0,0,10,0,0,0,1,4
Cold Brew Coffee,"Nitro Cold Brew Coffee, Small",5,0,0,0,0,5,0,0,0,0,5
Coolatta,"Blue Raspberry Coolatta, Large",460,0,0,0,0,60,112,0,110,0,570
Coolatta,"Blue Raspberry Coolatta, Medium",350,0,0,0,0,45,84,0,83,0,433
Coolatta,"Blue Raspberry Coolatta, Small",230,0,0,0,0,30,56,0,55,0,285
Coolatta,"Vanilla Bean Coolatta, Large",790,6,3.5,0,20,320,172,0,167,10,950.5
Coolatta,"Vanilla Bean Coolatta, Medium",590,4.5,2.5,0,15,240,129,0,125,7,710.5
Coolatta,"Vanilla Bean Coolatta, Small",390,3,1.5,0,10,160,86,0,83,5,469.5
Coolatta,"Pineapple Coolatta, Large",460,0,0,0,0,45,113,0,107,0,567
Coolatta,"Pineapple Coolatta, Medium",340,0,0,0,0,30,85,0,80,0,420
Coolatta,"Pineapple Coolatta, Small",230,0,0,0,0,20,56,0,53,0,283
Donuts,Apple ‘n Spice Donut,230,10,4,0,0,300,31,1,10,4,240
Donuts,Apple Crumb Donut,290,11,4.5,0,0,310,44,1,22,5,311.5
Donuts,Apple Fritter,510,28,12,0,0,470,57,2,24,6,540
Donuts,Apple Stick,470,30,14,0,20,450,44,1,21,4,501
Donuts,Apple Streusel Donut (Regional),310,12,4.5,0,0,310,47,1,24,5,333.5
Donuts,Bavarian Kreme Donut,240,11,4,0,0,310,31,1,11,4,251
Donuts,Bismark,480,22,9,0,0,470,63,1,34,6,517
Donuts,Boston Kreme Donut,270,11,4.5,0,0,320,39,1,18,5,287.5
Donuts,Butternut Donut,430,21,10,0,20,320,57,1,34,4,470
Donuts,Chocolate Butternut Donut,440,23,10,0,0,420,55,2,32,4,478
Donuts,Chocolate Coconut Donut (Regional),420,23,11,0,0,420,48,1,26,4,453
Donuts,Chocolate Creme Donut,290,14,6,0,0,300,36,1,14,5,305
Donuts,Chocolate Creme Stick (Regional),460,23,9,0,0,450,58,2,33,6,496
Donuts,Chocolate Dipped French Cruller,280,15,7,0,50,150,33,0,20,3,304
Donuts,Chocolate Frosted Cake Donut,360,20,9,0,20,340,41,1,21,4,386
Donuts,Chocolate Frosted Donut,260,11,4.5,0,0,290,34,1,13,4,273.5
Donuts,Chocolate Frosted with Sprinkles Donut,270,12,5,0,0,290,36,1,15,4,286
Donuts,Chocolate Headlight Donut,310,14,6,0,0,310,41,1,19,5,330
Donuts,Chocolate Long John,320,15,6,0,0,400,41,1,16,6,336
Donuts,Cinnamon Donut,330,20,9,0,20,320,34,1,13,4,348
Donuts,Cinnamon Stick,430,30,14,0,20,390,34,1,13,4,453
Donuts,Coconut Donut,410,21,11,0,20,320,50,1,28,4,445
Donuts,Coffee Roll,390,19,8,0,0,440,48,2,17,7,408
Donuts,Creme Delight Donut (Regional),330,16,6,0,0,310,44,1,24,5,355
Donuts,Double Chocolate Donut,370,22,10,0,0,440,40,1,19,4,395
Donuts,Dulce de Leche Donut (Regional),270,11,4.5,0,0,280,37,1,13,5,282.5
Donuts,Eclair,370,16,6,0,0,470,50,2,23,6,393
Donuts,French Apple Donut (Regional),270,10,4,0,0,310,40,1,19,4,289
Donuts,French Cruller,230,14,7,0,50,135,21,0,10,3,244
Donuts,Frosted Vanilla Creme Donut,330,16,6,0,0,310,44,1,24,5,355
Donuts,Glazed Blueberry Donut,350,18,7,0,30,380,44,1,21,4,374
Donuts,Glazed Chocolate Donut,360,22,10,0,0,420,39,1,18,4,384
Donuts,Glazed Chocolate Stick,410,25,10,0,0,480,42,2,20,4,436
Donuts,Glazed Donut,240,11,4.5,0,0,270,33,1,13,4,253.5
Donuts,Glazed Jelly Donut,280,10,4,0,0,290,44,1,21,4,301
Donuts,Glazed Jelly Stick,530,30,14,0,20,430,61,1,34,4,574
Donuts,Glazed Lemon Donut (Regional),270,10,4,0,0,310,40,1,19,4,289
Donuts,Glazed Stick,460,30,14,0,20,390,43,1,21,4,491
Donuts,Glazed Strawberry Donut,280,10,4,0,0,280,44,1,23,4,303
Donuts,Guava Donut (Regional),240,10,4,0,0,280,32,1,12,4,252
Donuts,Indy Creme Donut (Regional),330,16,6,0,0,310,44,1,24,5,355
Donuts,Jelly Donut,250,10,4,0,0,290,36,1,13,4,263
Donuts,Jelly Stick,500,30,14,0,20,430,52,1,26,4,536
Donuts,Lemon Donut,230,10,4,0,0,310,31,1,10,4,240
Donuts,Lemon Stick,470,31,14,0,20,460,44,1,21,4,501
Donuts,Maple Creme Donut,290,14,5,0,0,290,38,1,18,4,309
Donuts,Maple Creme Stick,460,22,9,0,0,440,59,1,34,5,498
Donuts,Maple Frosted Donut,260,11,4.5,0,0,280,35,1,14,4,274.5
Donuts,Maple Long John Donut (Regional),320,15,6,0,0,400,42,1,18,5,339
Donuts,Maple Vanilla Creme Donut,330,15,6,0,0,300,45,1,25,4,357
Donuts,Marble Frosted Donut (Regional),270,11,4.5,0,0,290,37,1,17,4,287.5
Donuts,New Yorker Donut (Regional),330,16,6,0,0,310,44,1,24,5,355
Donuts,Old Fashioned Donut,310,19,9,0,20,320,30,1,10,4,325
Donuts,Peanut Donut,470,27,10,0,20,320,50,2,26,8,498
Donuts,Plain Stick,410,30,14,0,20,390,31,1,10,4,430
Donuts,Powdered Donut,330,20,9,0,20,320,34,1,14,4,349
Donuts,Powdered Stick,440,31,14,0,20,390,36,1,15,4,465
Donuts,Sour Cream Donut,360,17,7,0,10,360,49,1,25,4,388
Donuts,Strawberry Frosted Donut,260,11,4.5,0,0,280,35,1,14,4,274.5
Donuts,Strawberry Frosted with Sprinkles Donut,270,12,5,0,0,280,37,1,16,4,287
Donuts,Sugared Donut,210,11,4.5,0,0,270,24,1,5,4,215.5
Donuts,Sugared Stick,420,30,14,0,20,390,34,1,13,4,443
Donuts,Taillight Donut,320,15,6,0,0,310,41,1,21,4,343
Donuts,Toasted Coconut Donut,430,22,11,0,20,360,52,3,29,5,465
Donuts,Vanilla Creme Donut,300,15,6,0,0,290,37,1,18,4,320
Donuts,Vanilla Frosted Donut,260,11,4.5,0,0,280,35,1,14,4,274.5
Donuts,Vanilla Frosted with Sprinkles Donut,270,11,4.5,0,0,280,38,1,16,4,286.5
Donuts,Vanilla Headlight Donut,310,15,6,0,0,310,41,1,21,4,333
Donuts,Vanilla Long John,320,15,6,0,0,400,42,1,17,5,338
Donuts,"Caramel Swirl Frozen Chocolate, Large",900,17,12,0,40,380,176,1,165,11,1066
Donuts,"Caramel Swirl Frozen Chocolate, Medium",700,14,10,0,35,290,135,1,126,9,827
Donuts,"Caramel Swirl Frozen Chocolate, Small",500,11,8,0,30,200,95,1,88,6,590
Donuts,"French Vanilla Swirl Frozen Chocolate, Large",900,17,12,0,40,370,175,1,162,11,1063
Donuts,"French Vanilla Swirl Frozen Chocolate, Medium",700,14,10,0,35,280,135,1,124,9,825
Donuts,"French Vanilla Swirl Frozen Chocolate, Small",500,11,8,0,30,190,95,1,87,6,589
Donuts,"Frozen Chocolate, Large",890,18,13,0,35,330,175,4,158,10,1051
Donuts,"Frozen Chocolate, Medium",690,15,10,0,30,250,134,3,121,7,814
Donuts,"Frozen Chocolate, Small",490,11,8,0,25,170,94,2,84,5,577
Donuts,"Hazelnut Swirl Frozen Chocolate, Large",900,17,12,0,40,370,176,1,162,11,1063
Donuts,"Hazelnut Swirl Frozen Chocolate, Medium",700,14,10,0,35,280,135,1,124,9,825
Donuts,"Hazelnut Swirl Frozen Chocolate, Small",500,11,8,0,30,190,95,1,87,6,589
Donuts,#All Caps Donut (Regional),280,11,4.5,0,0,290,40,1,20,4,300.5
Donuts,Celebration Donut,520,37,18,0,25,310,42,1,24,3,559
Donuts,Cherry Blossom Donut (Regional),270,11,4.5,0,0,280,38,1,16,4,286.5
Donuts,Chocolate Frosted with Chocolate Sprinkles Donut (Regional),270,12,5,0,0,290,36,1,15,5,285
Donuts,Flyers Donut (Regional),280,11,4.5,0,0,290,40,1,20,4,300.5
Donuts,Pittsburgh Creme Donut (Regional),350,16,7,0,0,310,47,1,26,5,378
Frozen Coffee,"Caramel Swirl Frozen Coffee with Cream, Large",1120,40,22,1.5,130,290,180,0,172,10,1304
Frozen Coffee,"Caramel Swirl Frozen Coffee with Cream, Medium",860,31,17,1,100,220,139,0,132,8,1001
Frozen Coffee,"Caramel Swirl Frozen Coffee with Cream, Small",610,22,12,0.5,70,160,97,0,92,6,708
Frozen Coffee,"Caramel Swirl Frozen Coffee with Skim Milk, Large",830,5,3.5,0,25,240,184,0,176,11,998.5
Frozen Coffee,"Caramel Swirl Frozen Coffee with Skim Milk, Medium",650,4.5,3,0,25,180,142,0,135,9,779
Frozen Coffee,"Caramel Swirl Frozen Coffee with Skim Milk, Small",470,4.5,3,0,20,130,99,0,94,6,561
Frozen Coffee,"Caramel Swirl Frozen Coffee with Whole Milk, Large",880,11,7,0,40,240,184,0,175,11,1051
Frozen Coffee,"Caramel Swirl Frozen Coffee with Whole Milk, Medium",680,9,6,0,35,180,141,0,134,8,812
Frozen Coffee,"Caramel Swirl Frozen Coffee with Whole Milk, Small",490,8,4.5,0,30,130,99,0,94,6,582.5
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Cream, Large",1110,40,22,1.5,130,280,180,0,169,10,1291
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Cream, Medium",860,31,17,1,100,220,138,0,130,8,999
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Cream, Small",610,22,12,0.5,70,150,97,0,91,6,707
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Skim Milk, Large",830,5,3.5,0,25,230,184,0,173,11,995.5
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Skim Milk, Medium",640,4.5,3,0,20,180,141,0,133,9,767
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Skim Milk, Small",460,4.5,3,0,20,125,99,0,93,6,550
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Whole Milk, Large",880,11,7,0,40,230,183,0,173,11,1049
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Whole Milk, Medium",680,9,6,0,35,180,141,0,132,8,810
Frozen Coffee,"French Vanilla Swirl Frozen Coffee with Whole Milk, Small",490,8,4.5,0,30,125,99,0,92,6,580.5
Frozen Coffee,"Frozen Coffee with Cream, Large",780,35,18,1,105,200,113,0,108,7,899
Frozen Coffee,"Frozen Coffee with Cream, Medium",590,26,14,1,80,150,85,0,81,5,680
Frozen Coffee,"Frozen Coffee with Cream, Small",390,17,9,0.5,55,100,57,0,54,3,450
Frozen Coffee,"Frozen Coffee with Skim Milk, Large",500,0,0,0,<5,150,117,0,112,8,604
Frozen Coffee,"Frozen Coffee with Skim Milk, Medium",370,0,0,0,<5,115,88,0,84,6,448
Frozen Coffee,"Frozen Coffee with Skim Milk, Small",250,0,0,0,0,75,59,0,56,4,302
Frozen Coffee,"Frozen Coffee with Whole Milk, Large",550,6,3.5,0,20,150,117,0,111,7,657.5
Frozen Coffee,"Frozen Coffee with Whole Milk, Medium",410,4.5,2.5,0,15,115,88,0,84,5,491.5
Frozen Coffee,"Frozen Dunkaccino, Large",930,22,15,0,40,350,177,3,159,10,1094
Frozen Coffee,"Frozen Dunkaccino, Medium",710,17,12,0,35,260,134,3,119,8,833
Frozen Coffee,"Frozen Dunkaccino, Small",510,13,9,0,25,180,94,2,83,5,597
Frozen Coffee,"Frozen Vanilla Chai/Vanilla Spice, Large",790,14,10,0,20,240,160,0,151,9,942
Frozen Coffee,"Frozen Vanilla Chai/Vanilla Spice, Medium",590,10,7,0,15,180,120,0,113,7,703
Frozen Coffee,"Frozen Vanilla Chai/Vanilla Spice, Small",400,7,5,0,10,120,80,0,75,4,476
Frozen Coffee,Limited Time Products – Frozen Coffee, , , , , , , , , , , 
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Cream, Large",1160,40,22,1.5,125,480,191,0,181,11,1352
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Cream, Medium",890,31,17,1,100,370,147,0,139,8,1038
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Cream, Small",630,22,12,0.5,70,250,103,0,97,6,733
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Skim Milk, Large",880,5,3.5,0,25,430,195,0,185,12,1056.5
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Skim Milk, Medium",680,5,3,0,20,330,150,0,142,9,816
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Skim Milk, Small",490,4.5,3,0,20,220,105,0,99,6,586
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Whole Milk, Large",930,11,7,0,40,430,195,0,185,11,1111
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Whole Milk, Medium",720,9,6,0,30,330,150,0,142,9,859
Frozen Coffee,"Butter Pecan Swirl Frozen Coffee with Whole Milk, Small",510,8,4.5,0,25,220,105,0,98,6,606.5
Frozen Coffee,Limited Time Products – Frozen Specialty, , , , , , , , , , , 
Frozen Coffee,"Frozen Matcha Latte with Skim Milk, Large",480,0,0,0,<5,95,111,2,109,8,581
Frozen Coffee,"Frozen Matcha Latte with Skim Milk, Medium",360,0,0,0,<5,70,83,1,82,6,436
Frozen Coffee,"Frozen Matcha Latte with Skim Milk, Small",240,0,0,0,0,50,55,1,54,4,290
Frozen Coffee,"Frozen Matcha Latte with Whole Milk, Large",530,6,3.5,0,20,95,110,2,109,8,634.5
Frozen Coffee,"Frozen Matcha Latte with Whole Milk, Medium",390,4.5,2.5,0,15,75,83,1,81,6,467.5
Frozen Coffee,"Frozen Matcha Latte with Whole Milk, Small",260,3,1.5,0,10,50,55,1,54,4,311.5
Hot Americano,"Americano, Large",10,0,0,0,0,30,2,0,0,0,10
Hot Americano,"Americano, Medium",10,0,0,0,0,25,2,0,0,0,10
Hot Americano,"Americano, Small",5,0,0,0,0,15,1,0,0,0,5
Hot Cappuccino,"Cappuccino with Skim Milk, Large",90,0,0,0,<5,115,13,0,12,8,94
Hot Cappuccino,"Cappuccino with Skim Milk, Medium",70,0,0,0,<5,85,10,0,9,6,73
Hot Cappuccino,"Cappuccino with Skim Milk, Small",45,0,0,0,0,55,7,0,6,4,47
Hot Cappuccino,"Cappuccino with Skim Milk and Sugar, Large",230,0,0,0,<5,115,48,0,47,8,269
Hot Cappuccino,"Cappuccino with Skim Milk and Sugar, Medium",170,0,0,0,<5,85,36,0,35,6,199
Hot Cappuccino,"Cappuccino with Skim Milk and Sugar, Small",110,0,0,0,0,55,24,0,23,4,129
Hot Cappuccino,"Cappuccino with Whole Milk, Large",160,8,4.5,0,25,115,13,0,12,8,168.5
Hot Cappuccino,"Cappuccino with Whole Milk, Medium",120,6,3.5,0,20,85,10,0,9,6,126.5
Hot Cappuccino,"Cappuccino with Whole Milk, Small",80,4,2.5,0,10,60,7,0,6,4,84.5
Hot Cappuccino,"Cappuccino with Whole Milk and Sugar, Large",290,8,4.5,0,25,115,48,0,46,8,332.5
Hot Cappuccino,"Cappuccino with Whole Milk and Sugar, Medium",220,6,3.5,0,20,85,36,0,35,6,252.5
Hot Cappuccino,"Cappuccino with Whole Milk and Sugar, Small",150,4,2.5,0,10,60,24,0,23,4,171.5
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Skim Milk, Large",310,0,0,0,10,180,65,0,63,11,362
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Skim Milk, Medium",230,0,0,0,<5,135,49,0,47,8,269
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Skim Milk, Small",160,0,0,0,<5,90,33,0,32,6,186
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Whole Milk, Large",380,8,4.5,0,30,180,65,0,63,11,436.5
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Whole Milk, Medium",280,6,3.5,0,20,135,48,0,47,8,322.5
Hot Cappuccino,"Caramel Swirl Hot Cappuccino with Whole Milk, Small",190,4,2.5,0,15,90,32,0,31,5,218.5
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Skim Milk, Large",310,0,0,0,10,170,65,0,61,11,360
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Skim Milk, Medium",230,0,0,0,<5,130,48,0,46,8,268
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Skim Milk, Small",150,0,0,0,<5,85,32,0,30,5,175
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Whole Milk, Large",370,8,4.5,0,30,170,64,0,60,10,424.5
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Whole Milk, Medium",280,6,3.5,0,20,130,48,0,45,8,320.5
Hot Cappuccino,"French Vanilla Swirl Hot Cappuccino with Whole Milk, Small",190,4,2.5,0,15,85,32,0,30,5,217.5
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Skim Milk, Large",310,0,0,0,10,170,65,0,61,11,360
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Skim Milk, Medium",230,0,0,0,<5,130,49,0,46,8,268
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Skim Milk, Small",150,0,0,0,<5,85,32,0,30,5,175
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Whole Milk, Large",370,8,4.5,0,30,170,64,0,60,10,424.5
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Whole Milk, Medium",280,6,3.5,0,20,130,48,0,45,8,320.5
Hot Cappuccino,"Hazelnut Swirl Hot Cappuccino with Whole Milk, Small",190,4,2.5,0,15,85,32,0,30,5,217.5
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Skim Milk, Large",300,1,0.5,0,<5,140,64,2,58,10,348.5
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Skim Milk, Medium",220,1,0.5,0,<5,105,48,2,43,7,256.5
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Skim Milk, Small",150,0.5,0,0,0,70,32,1,29,5,174
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Whole Milk, Large",360,9,5,0,25,140,63,2,57,9,413
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Whole Milk, Medium",270,7,4,0,20,110,48,2,43,7,310
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Whole Milk, Small",180,4.5,2.5,0,10,70,32,1,29,5,206.5
Hot Cappuccino,Limited Time Products – Hot Cappuccino, , , , , , , , , , , 
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Skim Milk, Large",310,0,0,0,<5,370,64,0,60,11,359
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Skim Milk, Medium",230,0,0,0,<5,280,48,0,45,9,266
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Skim Milk, Small",150,0,0,0,<5,190,32,0,30,6,174
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Whole Milk, Large",370,8,4.5,0,25,370,63,0,60,11,423.5
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Whole Milk, Medium",280,6,3.5,0,20,280,47,0,45,8,320.5
Hot Cappuccino,"Butter Pecan Swirl Hot Cappuccino with Whole Milk, Small",190,4,2.5,0,15,190,32,0,30,5,217.5
Hot Chocolate,"Box ‘O Joe, Hot Chocolate",220,7,6,0,0,210,40,2,32,2,256
